player_id,num_sessions,total_playtime,in_game_purchases,days_since_last_session,level_reached,churn,avg_session_length,achievements_unlocked,social_interactions,session_avg_time,country_Brazil,country_Canada,country_Germany,country_India,country_Japan,country_UK,country_USA,device_Mobile,device_PC
P0001,23,25.886602034465387,3,22,99,1,1.1255044362811035,33,2,1.1255044362811037,False,False,False,False,True,False,False,True,False
P0002,15,38.55912832150679,2,15,53,0,2.57060855476712,41,8,2.5706085547671194,False,False,False,False,False,True,False,False,True
P0003,21,38.46286475319053,0,12,61,0,1.831564988247168,19,9,1.831564988247168,False,False,False,False,False,False,True,False,False
P0004,25,35.90145348336703,3,10,46,0,1.4360581393346812,96,9,1.4360581393346812,False,False,False,False,False,False,True,False,False
P0005,15,62.44212262897623,3,16,85,1,4.162808175265082,67,7,4.162808175265082,False,False,False,False,False,False,True,False,False
P0006,17,47.09260791840795,2,16,74,1,2.7701534069651736,44,4,2.7701534069651736,False,False,False,False,False,True,False,False,True
P0007,19,46.03227738034084,0,1,80,0,2.42275144107057,74,8,2.42275144107057,False,False,False,False,False,False,True,False,False
P0008,21,19.942064533898694,3,12,7,0,0.9496221206618428,41,7,0.9496221206618426,False,False,False,True,False,False,False,False,True
P0009,17,59.5312704531384,2,13,4,0,3.5018394384199056,46,5,3.5018394384199056,False,False,False,False,False,True,False,True,False
P0010,19,31.41112407719791,4,10,91,0,1.653217056694627,4,6,1.653217056694627,False,False,False,False,True,False,False,True,False
P0011,16,50.89898945399492,1,27,52,1,3.1811868408746826,88,4,3.1811868408746826,False,True,False,False,False,False,False,False,True
P0012,21,54.16065406937288,3,9,89,0,2.5790787652082323,48,4,2.5790787652082323,False,False,False,False,True,False,False,False,False
P0013,21,70.40987893757976,2,2,31,0,3.352851377979989,36,4,3.352851377979989,False,False,False,False,False,True,False,False,True
P0014,17,30.36769401321332,4,28,75,1,1.7863349419537249,33,5,1.7863349419537247,False,False,False,False,False,True,False,False,True
P0015,22,5.0,0,26,84,1,0.5,72,4,0.22727272727272727,False,False,True,False,False,False,False,False,True
P0016,14,52.75774317130542,2,16,36,1,3.768410226521816,69,7,3.768410226521816,False,False,True,False,False,False,False,True,False
P0017,17,77.0076677226628,1,14,54,0,4.5298628072154585,17,2,4.5298628072154585,False,False,True,False,False,False,False,False,True
P0018,17,68.58419529409156,1,8,54,0,4.034364429064209,77,4,4.034364429064209,False,False,False,False,False,False,False,True,False
P0019,21,53.14489122911939,1,9,17,0,2.5307091061485423,18,1,2.5307091061485423,False,False,False,False,False,False,False,False,True
P0020,21,42.62545721551929,0,7,75,0,2.02978367692949,77,6,2.02978367692949,True,False,False,False,False,False,False,True,False
P0021,13,62.10683894955966,1,20,30,1,4.777449149966127,39,1,4.777449149966127,False,False,False,False,False,False,False,False,True
P0022,18,35.39680700443297,2,12,99,0,1.966489278024054,16,6,1.966489278024054,False,False,False,True,False,False,False,False,True
P0023,25,57.14536654034329,3,26,22,1,2.285814661613732,59,6,2.2858146616137316,False,False,False,False,False,True,False,False,False
P0024,17,57.5820523874994,5,17,43,1,3.387179552205847,98,0,3.387179552205847,False,False,False,False,True,False,False,False,False
P0025,24,65.90314861248319,3,4,27,0,2.745964525520133,92,6,2.745964525520133,False,False,False,False,False,True,False,False,True
P0026,23,91.39490058366616,2,5,37,0,3.973691329724616,41,1,3.9736913297246157,False,False,True,False,False,False,False,False,True
P0027,24,55.88623950768151,4,29,46,1,2.328593312820063,80,4,2.328593312820063,False,False,False,False,False,True,False,False,True
P0028,18,42.36554561438752,3,16,35,1,2.353641423021529,71,6,2.353641423021529,False,True,False,False,False,False,False,False,True
P0029,26,49.61638531712008,2,10,4,0,1.9083225121969265,64,7,1.908322512196926,False,False,False,False,False,False,False,False,False
P0030,18,23.463861426663225,1,19,80,1,1.303547857036846,52,6,1.303547857036846,False,False,False,False,False,True,False,True,False
P0031,17,39.579303033664125,1,15,80,0,2.3281942960978896,99,3,2.3281942960978896,False,False,False,False,True,False,False,False,True
P0032,23,43.86076342830344,4,8,85,0,1.9069897142740628,6,7,1.9069897142740628,False,False,False,False,False,False,True,False,False
P0033,26,42.13867403098112,5,1,26,0,1.620718231960812,4,6,1.6207182319608124,False,True,False,False,False,False,False,False,True
P0034,14,52.28532308050583,1,4,19,0,3.734665934321845,23,5,3.7346659343218453,False,True,False,False,False,False,False,False,True
P0035,24,37.66370101426699,3,0,81,0,1.569320875594458,27,7,1.5693208755944579,False,False,False,False,False,True,False,True,False
P0036,24,66.81546000986707,2,3,45,0,2.783977500411128,61,4,2.783977500411128,True,False,False,False,False,False,False,False,True
